Species,Common_name,Begin_study_date,End_study_date,Life_history_process,sex,Fucntional_form,Value,Units,Parameter_name,Sample_size,Method,Large_marine_ecosystem,More_specific_location,Reference,,
Larimichthys polyactis,Small yellow croaker,2001,2001,total mortality,both,NA,2.05,NA,Z,NA,length-converted catch curve,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,2001,2001,fishing mortality,both,NA,1.47,NA,F,NA,NA,East China Sea,NA,Lin LS et al 2008 The Fishery Biology of Trichiurus japonicus and Larimichthys polyactis in the East China Sea Region. Marine Fisheries 30(2).,,
Larimichthys polyactis,Small yellow croaker,1963,1963,weight at length,both,power function,3.35651*10^-5,NA,a,520,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,1963,1963,weight at length,both,power function,2.8705,NA,b,520,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,1983,1983,weight at length,both,power function,7.2046*10^-5,NA,a,524,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,1983,1983,weight at length,both,power function,2.7299,NA,b,524,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length,both,power function,2.6594*10^-5,NA,a,894,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,2001,2001,weight at length,both,power function,2.9126,NA,b,894,NA,"East China Sea, Yellow Sea","122°00′~127°00′E, 31°00′~34°00′N",Lin LS 2009 Study on the fishery biology and management strategy of Larimichthys polyactis in the southern Yellow Sea and the East China Sea. PhD thesis. ,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,5.3082*10^-5,NA,a,321,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,2.7321,NA,b,321,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,1.8644*10^-5,NA,a,91,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,2.9703,NA,b,91,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,1.3243*10^-5,NA,a,416,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,3.0418,NA,b,416,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,6.4656*10^-5,NA,a,93,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,weight at length,both,power function,2.7252,NA,b,93,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,growth,both,von Bertalanffy,230.00,mm,Linf,921,ELEFAN,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,growth,both,von Bertalanffy,0.26,NA,k,921,ELEFAN,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,growth,both,von Bertalanffy,NA,NA,t0,921,ELEFAN,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,total mortality,both,NA,1.15,NA,Z,921,length converted catch curve,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,natural mortality,both,Pauly's empirical equation,0.516,NA,M,921,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,natural mortality,both,Pauly's empirical equation,11,°C,T,921,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,2011,2011,fishing mortality,both,NA,0.634,NA,F,921,NA,Yellow Sea,Haizhou Bay,Liu Q 2012 Growth and Mortality of Small Yellow Croaker (Larimichthys polyactis) Inhabiting Haizhou Bay of China. Journal of Ocean University of China 11(4).,,
Larimichthys polyactis,Small yellow croaker,1959,1959,growth,both,von Bertalanffy,330,mm,Linf,NA,NA,Yellow Sea,central and southern Yellow Sea,Shan XJ 2010 Seasonal and annual variations in biological characteristics of small yellow croaker Larimichthys polyactis in the central and southern Yellow Sea. Progress in Fishery Sciences 32(6).,,
Larimichthys polyactis,Small yellow croaker,1959,1959,growth,both,von Bertalanffy,0.17,NA,k,NA,NA,Yellow Sea,central and southern Yellow Sea,Shan XJ 2010 Seasonal and annual variations in biological characteristics of small yellow croaker Larimichthys polyactis in the central and southern Yellow Sea. Progress in Fishery Sciences 32(6).,,
Larimichthys polyactis,Small yellow croaker,1959,1959,growth,both,von Bertalanffy,-2.5,NA,t0,NA,NA,Yellow Sea,central and southern Yellow Sea,Shan XJ 2010 Seasonal and annual variations in biological characteristics of small yellow croaker Larimichthys polyactis in the central and southern Yellow Sea. Progress in Fishery Sciences 32(6).,,
Larimichthys polyactis,Small yellow croaker,1985,1985,growth,both,von Bertalanffy,361,mm,Linf,NA,NA,Yellow Sea,central and southern Yellow Sea,Shan XJ 2010 Seasonal and annual variations in biological characteristics of small yellow croaker Larimichthys polyactis in the central and southern Yellow Sea. Progress in Fishery Sciences 32(6).,,
Larimichthys polyactis,Small yellow croaker,1985,1985,growth,both,von Bertalanffy,0.22,NA,k,NA,NA,Yellow Sea,central and southern Yellow Sea,Shan XJ 2010 Seasonal and annual variations in biological characteristics of small yellow croaker Larimichthys polyactis in the central and southern Yellow Sea. Progress in Fishery Sciences 32(6).,,
